status,id,name,date
attended,124797,Affronte,2019-02-11
attended,124811,Agea,2019-02-11
attended,96897,Agnew,2019-02-11
attended,125045,Aguilera García,2019-02-11
attended,124842,Aiuto,2019-02-11
attended,99650,Aker,2019-02-11
attended,34250,Ali,2019-02-11
attended,1179,Alliot-Marie,2019-02-11
attended,124949,Lucy Anderson,2019-02-11
attended,113959,Martina Anderson,2019-02-11
attended,124994,Andersson,2019-02-11
attended,113892,Andrieu,2019-02-11
attended,28276,Andrikienė,2019-02-11
attended,125110,Androulakis,2019-02-11
attended,124973,Annemans,2019-02-11
attended,24922,Arimont,2019-02-11
attended,124748,Arnautu,2019-02-11
attended,124958,Arnott,2019-02-11
attended,28132,Ashworth,2019-02-11
attended,28307,Assis,2019-02-11
attended,124938,Atkinson,2019-02-11
attended,28161,Auken,2019-02-11
attended,124766,Auštrevičius,2019-02-11
attended,28292,Ayala Sender,2019-02-11
attended,4319,Ayuso,2019-02-11
attended,96937,van Baalen,2019-02-11
attended,97293,Bach,2019-02-11
attended,124744,Balas,2019-02-11
attended,96680,Balčytis,2019-02-11
attended,96877,Balczó,2019-02-11
attended,28497,Batten,2019-02-11
attended,124760,Bay,2019-02-11
attended,125002,Bayet,2019-02-11
attended,96955,Bearder,2019-02-11
attended,125040,Becerra Basterrechea,2019-02-11
attended,107041,Becker,2019-02-11
attended,124777,Beghin,2019-02-11
attended,4507,Belder,2019-02-11
attended,28257,Belet,2019-02-11
attended,96705,Bendtsen,2019-02-11
attended,135490,Benito Ziluaga,2019-02-11
attended,23868,Beňová,2019-02-11
attended,1985,Berès,2019-02-11
attended,124740,Bergeron,2019-02-11
attended,124819,Bettini,2019-02-11
attended,96922,Bilbao Barandica,2019-02-11
attended,124771,Bilde,2019-02-11
attended,97198,Bizzotto,2019-02-11
attended,124992,Björk,2019-02-11
attended,96681,Blinkevičiūtė,2019-02-11
attended,124712,Bocskor,2019-02-11
attended,1037,Böge,2019-02-11
attended,125004,Bogovič,2019-02-11
attended,124814,Bonafè,2019-02-11
attended,124896,Boni,2019-02-11
attended,21817,Borghezio,2019-02-11
attended,124796,Borrelli,2019-02-11
attended,112748,Borzan,2019-02-11
attended,39711,Boştinaru,2019-02-11
attended,124964,Bours,2019-02-11
attended,124753,Boutonnet,2019-02-11
attended,96744,Bové,2019-02-11
attended,124954,Brannen,2019-02-11
attended,28346,Bresso,2019-02-11
attended,124787,Briano,2019-02-11
attended,124757,Briois,2019-02-11
attended,1263,Brok,2019-02-11
attended,188733,Bullock,2019-02-11
attended,28269,Buzek,2019-02-11
attended,96849,Cadec,2019-02-11
attended,129407,Calvet Chambon,2019-02-11
