status,id,name,date
attended,124990,Adaktusson,2014-07-16
attended,124831,Adinolfi,2014-07-16
attended,124797,Affronte,2014-07-16
attended,124811,Agea,2014-07-16
attended,96897,Agnew,2014-07-16
attended,125045,Aguilera García,2014-07-16
attended,124842,Aiuto,2014-07-16
attended,99650,Aker,2014-07-16
attended,125048,Albiol Guzmán,2014-07-16
attended,96736,Albrecht,2014-07-16
attended,34250,Ali,2014-07-16
attended,30190,Aliot,2014-07-16
attended,1179,Alliot-Marie,2014-07-16
attended,124949,Lucy Anderson,2014-07-16
attended,113959,Martina Anderson,2014-07-16
attended,124994,Andersson,2014-07-16
attended,113892,Andrieu,2014-07-16
attended,125110,Androulakis,2014-07-16
attended,124973,Annemans,2014-07-16
attended,124696,Ansip,2014-07-16
attended,124936,Arena,2014-07-16
attended,1351,Miguel Arias Cañete,2014-07-16
attended,24922,Arimont,2014-07-16
attended,124748,Arnautu,2014-07-16
attended,124958,Arnott,2014-07-16
attended,124773,Arthuis,2014-07-16
attended,28132,Ashworth,2014-07-16
attended,28307,Assis,2014-07-16
attended,124938,Atkinson,2014-07-16
attended,28161,Margrete Auken,2014-07-16
attended,124766,Auštrevičius,2014-07-16
attended,28292,Ayala Sender,2014-07-16
attended,4319,Ayuso,2014-07-16
attended,96937,van Baalen,2014-07-16
attended,97293,Bach,2014-07-16
attended,124744,Balas,2014-07-16
attended,96680,Balčytis,2014-07-16
attended,96877,Balczó,2014-07-16
attended,96997,Balz,2014-07-16
attended,124956,Bashir,2014-07-16
attended,28497,Batten,2014-07-16
attended,124760,Bay,2014-07-16
attended,125002,Bayet,2014-07-16
attended,96955,Bearder,2014-07-16
attended,125040,Becerra Basterrechea,2014-07-16
attended,107041,Becker,2014-07-16
attended,124777,Beghin,2014-07-16
attended,4507,Belder,2014-07-16
attended,28257,Belet,2014-07-16
attended,96705,Bendtsen,2014-07-16
attended,124867,Benifei,2014-07-16
attended,1985,Berès,2014-07-16
attended,124740,Bergeron,2014-07-16
attended,124819,Bettini,2014-07-16
attended,96922,Bilbao Barandica,2014-07-16
attended,124771,Bilde,2014-07-16
attended,97198,Bizzotto,2014-07-16
attended,124992,Björk,2014-07-16
attended,125044,José Blanco López,2014-07-16
attended,96681,Blinkevičiūtė,2014-07-16
attended,124712,Bocskor,2014-07-16
attended,1037,Böge,2014-07-16
attended,125004,Bogovič,2014-07-16
attended,124814,Bonafè,2014-07-16
attended,124896,Michał Boni,2014-07-16
attended,21817,Borghezio,2014-07-16
attended,124796,Borrelli,2014-07-16
attended,112748,Borzan,2014-07-16
attended,39711,Boştinaru,2014-07-16
attended,124964,Bours,2014-07-16
attended,124753,Boutonnet,2014-07-16
attended,96744,Bové,2014-07-16
attended,124984,Boylan,2014-07-16
attended,4540,Bradbourn,2014-07-16
attended,124954,Brannen,2014-07-16
attended,28346,Bresso,2014-07-16
attended,124787,Briano,2014-07-16
attended,124757,Briois,2014-07-16
attended,1263,Brok,2014-07-16
attended,124818,Buchner,2014-07-16
attended,125012,Buda,2014-07-16
attended,124869,Buonanno,2014-07-16
attended,38420,Buşoi,2014-07-16
attended,96739,Bütikofer,2014-07-16
attended,28269,Buzek,2014-07-16
attended,125041,Cabezón Ruiz,2014-07-16
attended,96849,Cadec,2014-07-16
attended,96754,van de Camp,2014-07-16
attended,96912,Campbell Bannerman,2014-07-16
attended,124851,Caputo,2014-07-16
attended,124986,Carthy,2014-07-16
attended,124971,Carver,2014-07-16
attended,28122,Casa,2014-07-16
attended,28219,Caspary,2014-07-16
attended,124812,Castaldo,2014-07-16
attended,28390,del Castillo Vera,2014-07-16
attended,28206,Cavada,2014-07-16
attended,124993,Ceballos,2014-07-16
attended,28451,Cesa,2014-07-16
attended,124708,Charanzová,2014-07-16
attended,124752,Chauprade,2014-07-16
attended,96603,Childers,2014-07-16
attended,124861,Chinnici,2014-07-16
attended,28154,Christensen,2014-07-16
attended,125061,Chrysogonos,2014-07-16
attended,124854,Cicu,2014-07-16
attended,124772,Cirio,2014-07-16
attended,124988,Clune,2014-07-16
attended,124967,Coburn,2014-07-16
attended,1892,Coelho,2014-07-16
attended,96915,Cofferati,2014-07-16
attended,112788,Collin-Langen,2014-07-16
attended,124955,Collins,2014-07-16
attended,96775,Comi,2014-07-16
attended,124968,Comodini Cachia,2014-07-16
attended,2309,Corbett,2014-07-16
attended,124856,Corrao,2014-07-16
attended,96917,Costa,2014-07-16
attended,125997,Couso Permuy,2014-07-16
attended,96880,Cozzolino,2014-07-16
attended,28238,Cramer,2014-07-16
attended,33997,Creţu,2014-07-16
attended,40224,Cristea,2014-07-16
attended,124930,Csáky,2014-07-16
attended,28372,Czarnecki,2014-07-16
attended,96809,van Dalen,2014-07-16
attended,124970,Miriam Dalli,2014-07-16
attended,124835,D'Amato,2014-07-16
